song_label,ref_label,cmp_label,tuning_cents_cmp,tuning_cents_ref,delta_tuning_cents,semitone_shift_vs_ref,chroma_similarity,speed_factor_from_pitch,duration_ratio_ref_over_cmp
tinm,BS11,BS11,7.000000000000006,7.000000000000006,0.0,0,1.0,1.0,1.0
tinm,BS11,CAR,7.000000000000006,7.000000000000006,0.0,0,0.9999898672103882,1.0,1.0000228611998945
tinm,BS11,ATWR,9.999999999999998,7.000000000000006,2.999999999999992,0,0.9948633909225464,1.0,1.0152572260982904
tinm,BS11,MUTM,9.999999999999998,7.000000000000006,2.999999999999992,0,0.990879476070404,1.0,0.9968383017163505
tinm,BS11,SBD,7.000000000000006,7.000000000000006,0.0,0,0.9907851815223694,1.0,1.0100686498855835
tinm,BS11,RSD,6.000000000000005,7.000000000000006,-1.0000000000000009,0,0.9975311756134033,1.0,0.9991129456428027
tinm,BS11,TGBT,30.000000000000004,7.000000000000006,22.999999999999996,0,0.9923169016838074,1.0,1.0047040971168437
tinm,BS11,DITB,17.000000000000004,7.000000000000006,9.999999999999996,0,0.9947679042816162,1.0,1.0063839489284085
tinm,BS11,FTR,16.000000000000004,7.000000000000006,8.999999999999996,0,0.9931625127792358,1.0,1.0275471405292156
tinm,BS11,FTR,-44.0,7.000000000000006,-51.00000000000001,0,0.9892044067382812,1.0,1.0175977868285562
