,BS11,CAR,ATWR,MUTM,SBD,RSD,TGBT,CBST,FTR,FTR
BS11,1.0000001,0.9999998,0.989948,0.99510616,0.99833286,0.99240094,0.9771505,0.9949432,0.94039106,0.9604973
CAR,0.9999998,1.0,0.98997164,0.995134,0.99834627,0.9924064,0.9771675,0.99497247,0.94045544,0.9605566
ATWR,0.989948,0.98997164,1.0000001,0.9934374,0.9955919,0.9967046,0.98566234,0.99307424,0.97648937,0.98278517
MUTM,0.99510616,0.995134,0.9934374,0.99999994,0.99798876,0.988714,0.9742881,0.9999492,0.9576657,0.97088593
SBD,0.99833286,0.99834627,0.9955919,0.99798876,1.0000001,0.99485123,0.98148584,0.9978457,0.9558213,0.9707737
RSD,0.99240094,0.9924064,0.9967046,0.988714,0.99485123,0.9999999,0.9897973,0.9883471,0.96332985,0.9769011
TGBT,0.9771505,0.9771675,0.98566234,0.9742881,0.98148584,0.9897973,0.99999994,0.97433,0.9555303,0.98447406
CBST,0.9949432,0.99497247,0.99307424,0.9999492,0.9978457,0.9883471,0.97433,1.0000001,0.9577652,0.9703248
FTR,0.94039106,0.94045544,0.97648937,0.9576657,0.9558213,0.96332985,0.9555303,0.9577652,0.99999994,0.96767807
FTR,0.9604973,0.9605566,0.98278517,0.97088593,0.9707737,0.9769011,0.98447406,0.9703248,0.96767807,0.9999999
